DOE_SCHOOL_CODE	DEEWR_ID	SCHOOL_NAME	LEVEL_OF_ SCHOOLING	SCHOOL_SPECIALITY_TYPE	YEAR_RANGES	PRESCHOOL_INDICATOR	SCHOOL_GENDER	TEACHING_STAFF	NON_TEACHING_STAFF	TOTAL_ENROLMENTS	PHONE	SCHOOL_EMAIL	FAX	LGA	ELECTORATE	FEDERAL_ELECTORATE	ADDRESS	SUBURB	POSTCODE	LATITUDE	LONGITUDE
5544	27659	Royal North Shore Hospital School	Schools for Specific Purposes	Comprehensive	Hospital School	N	Coed	2	2	NULL	02 9463 2280	royalnshos-s.School@det.nsw.edu.au	9906 6314	Willoughby (C)	Lane Cove	North Sydney	Chldn Ward Lev 5 Bld 53 Pacific Hwy	St Leonards	2065	-33.820685	151.19079
5578	17884	Naremburn School	Schools for Specific Purposes	Comprehensive	Behaviour Disorder	N	Coed	6	5	22	9906 8498	naremburn-s.school@det.nsw.edu.au	9906 8410	Willoughby (C)	Willoughby	North Sydney	250 Willoughby Rd	Naremburn 	2065	-33.819372	151.200343
8132	7614	North Sydney Boys High School	Secondary School	Comprehensive	Year 7 to Year 12	N	Boys	48	10	922.9	9955 1565	northsydbo-h.School@det.nsw.edu.au	9957 6310	North Sydney (A)	North Shore	North Sydney	Falcon Street	Crows Nest	2065	-33.829336	151.207734
8133	7615	North Sydney Girls High School	Secondary School	Comprehensive	Year 7 to Year 12	N	Girls	52	12	913	9922 6666	northsydgi-h.School@det.nsw.edu.au	9957 5098	North Sydney (A)	North Shore	North Sydney	Pacific Hwy	Crows Nest 	2065	-33.830244	151.203447
8599	15386	Bradfield College	Secondary School	Senior College	Year 11 to Year 12	N	Coed	NULL	NULL	280.7	9942 0399	bradfield-h.school@det.nsw.edu.au	9942 0383	North Sydney (A)	Lane Cove	North Sydney	213 Pacific Highway	St Leonards	2065	-33.820468	151.188457
8910	30230	Cammeraygal High School	Secondary School	Comprehensive	Year 7 to Year 10	N	Coed	6	1	98	9954 7100	cammeraygal-h.school@det.nsw.edu.au	9954 6277	North Sydney (A)	North Shore	North Sydney	192 Pacific Highway	Crows Nest	2065	-33.832162	151.20304
2368	7616	Lane Cove Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	41	7	812	9427 1024	lanecove-p.School@det.nsw.edu.au	9418 6277	Lane Cove (A)	Lane Cove	North Sydney	Austin St & Longueville Rd	Lane Cove 	2066	-33.816514	151.169134
3908	7617	Lane Cove West Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	29	3	595	9427 4743	lanecovew-p.School@det.nsw.edu.au	9418 6865	Lane Cove (A)	Lane Cove	North Sydney	Avalon Ave	Lane Cove	2066	-33.809886	151.152003
4015	7618	Mowbray Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	21	3	377	9428 3200	mowbray-p.School@det.nsw.edu.au	9418 8027	Willoughby (C)	Willoughby	North Sydney	635 Mowbray Road	Lane Cove	2066	-33.803943	151.155895
7409	7620	Chatswood Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	50	8	1072	9419 6127	chatswood-p.school@det.nsw.edu.au	9415 1241	Willoughby (C)	Willoughby	North Sydney	5 Centennial Ave	Chatswood 	2067	-33.798242	151.17759
8232	7619	Chatswood High School	Secondary School	Comprehensive	Year 7 to Year 12	N	Coed	89	24	1366.8	9419 3611	chatswood-h.School@det.nsw.edu.au	9415 1342	Willoughby (C)	Willoughby	North Sydney	24 Centennial Ave	Chatswood 	2067	-33.800013	151.175324
3449	7623	Willoughby Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	45	7	1045	9958 1355	willoughby-p.school@det.nsw.edu.au	9967 2381	Willoughby (C)	Willoughby	North Sydney	30-34 Oakville Road	Willoughby	2068	-33.802197	151.200123
8159	7622	Willoughby Girls High School	Secondary School	Comprehensive	Year 7 to Year 12	N	Girls	61	11	955.8	9958 4141	willoughbg-h.School@det.nsw.edu.au	9967 2174	Willoughby (C)	Willoughby	North Sydney	Mowbray Rd	Willoughby 	2068	-33.803128	151.199957
2994	7625	Roseville Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	30	6	620	9417 4107	roseville-p.School@det.nsw.edu.au	9417 4922	Ku-ring-gai (A)	Davidson	Bradfield	Archbold Rd	Roseville 	2069	-33.781883	151.188666
3919	7624	Castle Cove Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	25	4	488	9417 1039	castlecove-p.School@det.nsw.edu.au	9417 4377	Willoughby (C)	Davidson	Bradfield	Kendall Rd	Castle Cove 	2069	-33.783375	151.201973
2403	7626	Lindfield Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	36	5	723	9416 1903	lindfield-p.School@det.nsw.edu.au	9416 2317	Ku-ring-gai (A)	Davidson	Bradfield	Pacific Hwy	Lindfield 	2070	-33.78075	151.168917
2404	7627	Lindfield East Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	37	5	769	9416 1955	lindfielde-p.School@det.nsw.edu.au	9416 2836	Ku-ring-gai (A)	Davidson	Bradfield	Tryon Rd	East Lindfield	2070	-33.767479	151.18429
5407	16209	Cromehurst School	Schools for Specific Purposes	Comprehensive	Medium / High Support needs	N	Coed	14	10	56	9416 9281	cromehurst-s.School@det.nsw.edu.au	9416 1393	Ku-ring-gai (A)	Davidson	Bradfield	8 Nelson Rd	Lindfield 	2070	-33.773952	151.172207
3918	7630	Killara Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	17	4	384	9498 2397	killara-p.school@det.nsw.edu.au	9498 2549	Ku-ring-gai (A)	Ku-ring-gai	Bradfield	Ridgeland Ave	Killara 	2071	-33.765473	151.148436
3956	7628	Beaumont Road Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	15	4	430	9498 3607	beaumontrd-p.School@det.nsw.edu.au	9498 8395	Ku-ring-gai (A)	Ku-ring-gai	Bradfield	17 Beaumont Road	Killara 	2071	-33.774289	151.146271
8457	7629	Killara High School	Secondary School	Comprehensive	Year 7 to Year 12	N	Coed	96	18	1600.8	9498 3299	killara-h.School@det.nsw.edu.au	9498 2202	Ku-ring-gai (A)	Davidson	Bradfield	Koola Ave	Killara 	2071	-33.756575	151.174102
3985	7631	Gordon East Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	16	3	339	9498 2428	gordoneast-p.School@det.nsw.edu.au	9498 4173	Ku-ring-gai (A)	Davidson	Bradfield	Rosedale Rd	Gordon 	2072	-33.74582	151.156203
3777	4922	Pymble Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	31	4	651	9144 4136	pymble-p.School@det.nsw.edu.au	9988 4938	Ku-ring-gai (A)	Ku-ring-gai	Bradfield	Crown Road	Pymble	2073	-33.732269	151.141089
3943	7632	Gordon West Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	26	4	555	9498 4644	gordonwest-p.School@det.nsw.edu.au	9498 4436	Ku-ring-gai (A)	Ku-ring-gai	Bradfield	146 Ryde Road	West Pymble	2073	-33.760318	151.139223
4283	5496	West Pymble Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	16	4	318	9144 7584	westpymble-p.School@det.nsw.edu.au	9988 3875	Ku-ring-gai (A)	Ku-ring-gai	Bradfield	Apollo Ave	West Pymble 	2073	-33.763937	151.124401
3288	4921	Turramurra North Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	15	3	306	9144 4107	turramurrn-p.School@det.nsw.edu.au	9988 4936	Ku-ring-gai (A)	Ku-ring-gai	Bradfield	237 Bobbin Head Rd	North Turramurra 	2074	-33.714724	151.147816
3390	5900	Warrawee Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	28	7	615	9144 2637	warrawee-p.school@det.nsw.edu.au	9983 9340	Ku-ring-gai (A)	Ku-ring-gai	Bradfield	1486 Pacific Highway	Turramurra	2074	-33.729484	151.121236
3855	7635	Turramurra Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	26	6	526	9983 9455	turramurra-p.School@det.nsw.edu.au	9983 9337	Ku-ring-gai (A)	Ku-ring-gai	Bradfield	Kissing Point Rd	Turramurra 	2074	-33.745258	151.114305
8416	7633	Ku-ring-gai High School	Secondary School	Creative Arts	Year 7 to Year 12	N	Coed	42	9	511	9144 3477	kuringgai-h.School@det.nsw.edu.au	9983 9331	Ku-ring-gai (A)	Ku-ring-gai	Bradfield	Bobbin Head Rd	North Turramurra	2074	-33.690973	151.153809
8435	7634	Turramurra High School	Secondary School	Comprehensive	Year 7 to Year 12	N	Coed	79	13	1291.2	9449 4233	turramurra-h.School@det.nsw.edu.au	9983 9332	Ku-ring-gai (A)	Ku-ring-gai	Bradfield	Maxwell St	South Turramurra	2074	-33.757307	151.114786
4293	6135	St Ives North Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	32	6	854	9144 7743	stivesnth-p.school@det.nsw.edu.au	9983 9335	Ku-ring-gai (A)	Davidson	Bradfield	87 Memorial Ave	St Ives 	2075	-33.718672	151.163635
4331	16317	St Ives Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	18	4	421	9144 1092	stives-p.School@det.nsw.edu.au	9983 9336	Ku-ring-gai (A)	Davidson	Bradfield	Horace St	St Ives 	2075	-33.738199	151.1665
4400	16316	St Ives Park Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	10	3	176	9144 4085	stivespark-p.School@det.nsw.edu.au	9988 3890	Ku-ring-gai (A)	Davidson	Bradfield	Woodbury & Acron Rds	St Ives 	2075	-33.724082	151.178775
5675	4924	Sir Eric Woodward Memorial School	Schools for Specific Purposes	Comprehensive	Medium / High Support needs	N	Coed	18	10	79	9449 6003	sirericwoo-s.School@det.nsw.edu.au	9983 9334	Ku-ring-gai (A)	Davidson	Bradfield	Ayres & Acron Rds	St Ives 	2075	-33.719579	151.179755
8400	7638	St Ives High School	Secondary School	Comprehensive	Year 7 to Year 12	N	Coed	60	13	928.9	9144 1689	stives-h.School@det.nsw.edu.au	9449 7074	Ku-ring-gai (A)	Davidson	Bradfield	Yarrabung Rd	St Ives 	2075	-33.740147	151.167078
2760	7667	Normanhurst Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	14	4	341	9489 1152	normanhurs-p.School@det.nsw.edu.au	9489 3257	Hornsby (A)	Ku-ring-gai	Bradfield	Normanhurst Rd	Normanhurst 	2076	-33.723332	151.098026
3833	4923	Wahroonga Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	34	5	717	9489 3086	wahroonga-p.School@det.nsw.edu.au	9489 7322	Ku-ring-gai (A)	Ku-ring-gai	Bradfield	71 Burns Rd	Wahroonga 	2076	-33.715583	151.128476
8211	7666	Normanhurst Boys High School	Secondary School	Comprehensive	Year 7 to Year 12	N	Boys	51	11	742	9489 1077	normanhurb-h.School@det.nsw.edu.au	9489 5722	Hornsby (A)	Ku-ring-gai	Bradfield	Pennant Hills Rd	Normanhurst	2076	-33.721475	151.101466
1070	5797	Asquith Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	19	7	353	9477 1258	asquith-p.School@det.nsw.edu.au	9482 2523	Hornsby (A)	Hornsby	Bradfield	Dudley St	Asquith	2077	-33.685729	151.112177
3334	7668	Waitara Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	35	4	693	9489 3105	waitara-p.School@det.nsw.edu.au	9489 7130	Hornsby (A)	Ku-ring-gai	Bradfield	Edgeworth David Ave	Wahroonga 	2077	-33.708119	151.111586
4274	6133	Hornsby Heights Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	20	4	424	9476 5133	hornsbyhts-p.School@det.nsw.edu.au	9482 2526	Hornsby (A)	Hornsby	Berowra	Somerville Rd	Hornsby 	2077	-33.670114	151.097989
4365	7670	Hornsby North Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	32	9	814	9987 4605	hornsbynth-p.School@det.nsw.edu.au	9482 2527	Hornsby (A)	Hornsby	Berowra	Ida St	Hornsby 	2077	-33.682646	151.098865
5191	4917	Hornsby South Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	24	6	571	9489 2410	hornsbysth-p.School@det.nsw.edu.au	9489 2495	Hornsby (A)	Hornsby	Berowra	Clarke Rd	Hornsby 	2077	-33.713499	151.095148
5655	16206	Clarke Road School	Schools for Specific Purposes	Comprehensive	Medium / High Support needs	N	Coed	9	11	61	9487 2652	clarkerd-s.School@det.nsw.edu.au	9489 2997	Hornsby (A)	Hornsby	Berowra	Clarke Special School	Hornsby	2077	-33.712072	151.095647
5714	24083	Gibberagong Environmental Education Centre	Environmental Education Centre	Comprehensive	Environmental Education Centre (formerly Field Studies Centres)	N	Coed	2	2	NULL	9457 8245	gibberagon-e.School@det.nsw.edu.au	9457 8182	Hornsby (A)	Hornsby	Berowra	c/- Ku-ring-gai Chase National Park	Bobbin Head 	2077	-33.667445	151.14174
8120	7669	Hornsby Girls High School	Secondary School	Comprehensive	Year 7 to Year 12	N	Girls	50	10	720	9476 5711	hornsbygir-h.School@det.nsw.edu.au	9482 2525	Hornsby (A)	Ku-ring-gai	Bradfield	Edgeworth David Ave	Hornsby 	2077	-33.706627	151.101083
8222	7673	Asquith Girls High School	Secondary School	Comprehensive	Year 7 to Year 12	N	Girls	56	12	920	9477 6411	asquithgir-h.School@det.nsw.edu.au	9482 2524	Hornsby (A)	Hornsby	Bradfield	Stokes Ave	Asquith 	2077	-33.689716	151.11275
8245	7672	Asquith Boys High School	Secondary School	Comprehensive	Year 7 to Year 12	N	Boys	41	9	575.2	9477 3508	asquithboy-h.School@det.nsw.edu.au	9482 2546	Hornsby (A)	Hornsby	Berowra	Jersey St	Asquith 	2077	-33.692276	151.103016
3885	7674	Mount Colah Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	20	3	428	9477 3627	mtcolah-p.School@det.nsw.edu.au	9482 2528	Hornsby (A)	Hornsby	Berowra	Telopea St	Mount Colah 	2079	-33.672947	151.115695
4049	7675	Mount Kuring-gai Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	6	2	156	9457 9088	mtkuringga-p.School@det.nsw.edu.au	9457 8691	Hornsby (A)	Hornsby	Berowra	Leeming St	Mount Kuring-Gai 	2080	-33.657474	151.135604
1205	7676	Berowra Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	19	4	399	9456 1319	berowra-p.school@det.nsw.edu.au	9456 3375	Hornsby (A)	Hornsby	Berowra	Hillcrest Rd	Berowra 	2081	-33.618522	151.148996
1668	8693	Cowan Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	5	3	53	9456 1065	cowan-p.School@det.nsw.edu.au	9456 3026	Hornsby (A)	Hornsby	Berowra	Chandler Ave	Cowan 	2081	-33.588808	151.168843
4433	7677	Wideview Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	16	3	395	9456 1655	wideview-p.School@det.nsw.edu.au	9456 2981	Hornsby (A)	Hornsby	Berowra	Wideview Rd	Berowra Heights	2082	-33.608499	151.14151
1377	8694	Brooklyn Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	5	3	105	9985 7315	brooklyn-p.School@det.nsw.edu.au	9985 7852	Hornsby (A)	Hornsby	Berowra	106 Brooklyn Rd	Brooklyn 	2083	-33.548414	151.214992
3190	7678	Terrey Hills Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	14	3	225	9450 1612	terreyhill-p.School@det.nsw.edu.au	9486 3174	Warringah (A)	Pittwater	Mackellar	Cooyong Rd	Terrey Hills 	2084	-33.685723	151.222619
3748	7679	Belrose Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	14	3	299	9451 6203	belrose-p.School@det.nsw.edu.au	9975 5047	Warringah (A)	Davidson	Mackellar	Ralston Ave	Belrose 	2085	-33.727235	151.216645
4368	7680	Wakehurst Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	18	5	389	9451 1812	wakehurst-p.School@det.nsw.edu.au	9975 4629	Warringah (A)	Davidson	Mackellar	Glen St	Belrose 	2085	-33.738527	151.218101
4515	6129	Kambora Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	8	3	178	9451 8028	kambora-p.School@det.nsw.edu.au	9975 5049	Warringah (A)	Davidson	Mackellar	Woolrych Ave	Davidson 	2085	-33.740137	151.1945
1946	7682	Frenchs Forest Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	15	5	310	9451 6011	frenchsfor-p.School@det.nsw.edu.au	9975 3082	Warringah (A)	Davidson	Mackellar	Ann St	Frenchs Forest 	2086	-33.751516	151.224695
4432	5796	Mimosa Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	22	4	492	9451 8049	mimosa-p.School@det.nsw.edu.au	9975 5039	Warringah (A)	Davidson	Mackellar	Blackbutts Rd & Mimosa St	Frenchs Forest 	2086	-33.743343	151.205909
5656	16156	Arranounbai School	Schools for Specific Purposes	Comprehensive	Medium / High Support needs	N	Coed	12	8	45	9452 3168	arranoun-s.school@det.nsw.edu.au	9975 5041	Warringah (A)	Wakehurst	Warringah	5 Aquatic Drive	Frenchs Forest 	2086	-33.756784	151.241291
8372	7683	The Forest High School	Secondary School	Comprehensive	Year 7 to Year 12	N	Coed	58	13	919.4	9451 5111	theforest-h.School@det.nsw.edu.au	9975 3293	Warringah (A)	Wakehurst	Mackellar	135 Frenchs Forest Rd	Frenchs Forest 	2086	-33.750298	151.2298
8479	7681	Davidson High School	Secondary School	Comprehensive	Year 7 to Year 12	N	Coed	51	12	798	9451 0022	davidson-h.School@det.nsw.edu.au	9975 3560	Warringah (A)	Davidson	Mackellar	Mimosa St	Frenchs Forest 	2086	-33.74468	151.205465
4019	7684	Forestville Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	30	7	686	9452 5444	forestvill-p.School@det.nsw.edu.au	9975 5037	Warringah (A)	Wakehurst	Warringah	7 Melwood Ave	Forestville 	2087	-33.761582	151.212803
4386	7685	Killarney Heights Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	35	6	705	9451 9547	killarneyh-p.School@det.nsw.edu.au	9975 5038	Warringah (A)	Wakehurst	Warringah	Tralee Ave	Killarney Heights 	2087	-33.774942	151.216151
8422	7686	Killarney Heights High School	Secondary School	Comprehensive	Year 7 to Year 12	N	Coed	62	12	960.3	9451 7005	killarney-h.School@det.nsw.edu.au	9975 5052	Warringah (A)	Wakehurst	Warringah	Starkey St	Killarney Heights 	2087	-33.771925	151.215215
2543	7688	Middle Harbour Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	27	5	593	9953 6232	middleharb-p.School@det.nsw.edu.au	9904 1443	Mosman (A)	North Shore	Warringah	8 Hale Rd	Mosman 	2088	-33.82282	151.2327
5212	4412	Beauty Point Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	13	4	303	9969 4260	beautypt-p.School@det.nsw.edu.au	9968 1210	Mosman (A)	North Shore	Warringah	17 Medusa St	Mosman 	2088	-33.812008	151.241883
7430	6126	Mosman Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	33	5	710	9969 9325	mosman-p.School@det.nsw.edu.au	9968 1324	Mosman (A)	North Shore	Warringah	27 Belmont Rd	Mosman 	2088	-33.828052	151.241198
8326	7689	Mosman High School	Secondary School	Comprehensive	Year 7 to Year 12	N	Coed	61	12	1025.3	9968 1006	mosman-h.school@det.nsw.edu.au	9968 1203	Mosman (A)	North Shore	Warringah	Military Rd	Mosman	2088	-33.829677	151.243425
2730	5502	Neutral Bay Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	39	6	964	9953 1798	neutralbay-p.School@det.nsw.edu.au	9904 1479	North Sydney (A)	North Shore	Warringah	Ben Boyd Rd	Neutral Bay 	2089	-33.83261	151.219605
1104	7691	Seaforth Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	24	4	554	9948 1694	seaforth-p.School@det.nsw.edu.au	9907 0858	Manly (A)	Manly	Warringah	37 Kempbridge Avenue	Seaforth 	2092	-33.793262	151.251235
2469	7697	Manly West Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	38	6	841	9948 2257	manlywest-p.School@det.nsw.edu.au	9907 0342	Manly (A)	Manly	Warringah	Griffith St	Balgowlah 	2093	-33.791875	151.268753
3736	7693	Balgowlah Heights Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	33	8	728	9948 2225	balgowlaht-p.School@det.nsw.edu.au	9949 7241	Manly (A)	Manly	Warringah	Lewis St	Balgowlah 	2093	-33.805985	151.258754
3984	7694	Balgowlah North Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	28	6	641	9949 4499	balgowlahn-p.School@det.nsw.edu.au	9949 7832	Warringah (A)	Manly	Warringah	10 Manning Street	North Balgowlah	2093	-33.783267	151.246457
4021	7696	Manly Vale Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	20	5	423	9907 9672	manlyvale-p.School@det.nsw.edu.au	9907 0890	Warringah (A)	Manly	Warringah	Sunshine St	Manly Vale 	2093	-33.783497	151.25976
8831	7695	Northern Beaches Secondary College Mackellar Girls Campus	Secondary School	Comprehensive	Year 7 to Year 12	N	Girls	80	14	1250	9949 2083	nbscmgirls-h.School@det.nsw.edu.au	9949 3028	Warringah (A)	Manly	Warringah	Campbell Pde & Quirk Rd	Manly Vale 	2093	-33.782109	151.272401
8851	7692	Northern Beaches Secondary College Balgowlah Boys Campus	Secondary School	Comprehensive	Year 7 to Year 12	N	Boys	44	8	637	9949 4200	nbscbalgb-h.School@det.nsw.edu.au	9907 0266	Manly (A)	Manly	Warringah	Maretimo St	Balgowlah 	2093	-33.796405	151.254607
3950	4413	Manly Village Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	29	5	712	9977 3066	manlyvill-p.School@det.nsw.edu.au	9976 2733	Manly (A)	Manly	Warringah	Darley Rd	Manly 	2095	-33.7994	151.287627
5504	22858	Royal Far West School	Schools for Specific Purposes	Comprehensive	Debilitated by physical difficulties	N	Coed	10	8	NULL	9977 2452	royalfarwe-s.School@det.nsw.edu.au	9976 2744	Manly (A)	Manly	Warringah	22 Wentworth St	Manly 	2095	-33.798519	151.288476
2133	7698	Harbord Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	50	7	1140	9905 4276	harbord-p.School@det.nsw.edu.au	9905 7853	Warringah (A)	Manly	Warringah	Wyadra Avenue	Freshwater	2096	-33.772164	151.286531
5515	23661	Stewart House School	Schools for Specific Purposes	Comprehensive	Debilitated by physical difficulties	N	Coed	11	6	NULL	9938 3822	stewarthou-s.School@det.nsw.edu.au	9905 6491	Warringah (A)	Manly	Warringah	22 Ellen St	Harbord 	2096	-33.77349	151.29131
8568	7710	Northern Beaches Secondary College Freshwater Senior Campus	Secondary School	Senior College	Year 11 to Year 12	N	Coed	46	11	606.3	9905 2634	nbscfreshw-h.School@det.nsw.edu.au	9905 2677	Warringah (A)	Manly	Warringah	Harbord Rd	Harbord 	2096	-33.76751	151.279975
3970	7699	Collaroy Plateau Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	27	5	638	9971 5214	collaroypl-p.School@det.nsw.edu.au	9971 4801	Warringah (A)	Wakehurst	Mackellar	Plateau Rd	Collaroy Plateau 	2097	-33.73297	151.29344
